,CPU_CLK_THREAD_UNHALTED:THREAD_P,INST_RETIRED:ANY_P,UOPS_RETIRED:ALL,UOPS_ISSUED:ALL,UOPS_EXECUTED:THREAD,UOPS_RETIRED:STALL_CYCLES,UOPS_ISSUED:STALL_CYCLES,UOPS_EXECUTED:STALL_CYCLES,CL,V_LEN,X_IDX_A,X_N,BROADCAST,X_IDX_B,X_IDX_C,X_IDX_D,X_IDX_E,X_IDX_F,X_IDX_G,X_IDX_H,N_CL
30,4.0055476,5.000165,8.00068,7.0009548,8.001166399999999,0.0019454,2.0017548,0.0017468,2,4,0,4,-1.0,16,4,20,,,,,"(4, 2)"
31,4.0053022,5.0001646,8.000726400000001,7.0010396,8.0009614,0.0018664,2.0018326,0.0017076,2,4,0,4,-1.0,16,4,20,,,,,"(4, 2)"
32,3.0047286,9.0001606,10.0005332,8.0007142,9.0005912,0.0013488,1.001287,0.0012152,3,4,0,4,-1.0,16,42,43,,,,,"(4, 3)"
33,4.0051054,5.000165,8.0008068,7.0010812,8.0011214,0.0019209999999999,2.0018274,0.0017547999999999,3,4,0,4,-1.0,16,42,44,,,,,"(4, 3)"
34,2.4508826,8.0001602,8.0005336,7.000721999999999,8.0006662,0.3544938,0.4860917999999999,0.1340974,3,4,0,4,-1.0,1,29,35,,,,,"(4, 3)"
35,4.005328199999999,5.000165,8.0007592,7.0007854,8.0010404,0.0018947999999999,2.0017496,0.0017562,3,4,0,4,-1.0,17,18,52,,,,,"(4, 3)"
36,3.0042702,9.0001602,10.0005346,8.0007896,9.000745,0.0014688,1.0014714,0.0014981999999999,3,4,0,4,-1.0,17,51,52,,,,,"(4, 3)"
37,4.0050404,5.000165,8.0007272,7.0010238000000005,8.0008768,0.0019083999999999,2.0018482,0.0017315999999999,4,4,0,4,-1.0,36,60,99,,,,,"(4, 4)"
38,4.00521,5.000165,8.0008066,7.001231800000001,8.001042400000001,0.0016338,2.0016896,0.001705,4,4,99,4,-1.0,0,60,36,,,,,"(4, 4)"
0,1.0034612,4.000162400000001,5.000353799999999,4.0005702,5.0005542,0.0010988,0.0010634,0.0006582,1,8,0,5,,1,2,3,4.0,-1.0,-1.0,-1.0,"(5, 1)"
1,1.0039282,4.0001624,5.000402799999999,4.0004816,5.0004122,0.0011554,0.0008632,0.000815,1,8,3,5,,4,5,6,7.0,-1.0,-1.0,-1.0,"(5, 1)"
2,6.205768600000001,6.0001656,9.000869,8.001150399999998,8.001093000000001,1.2021926000000005,4.202192800000001,2.7639822,1,8,1,5,,4,5,6,7.0,-1.0,-1.0,-1.0,"(5, 1)"
3,2.0042312,7.000161,8.0004908,6.0006056,8.000534,0.001336,0.2459964,0.0012054,1,8,0,5,,1,5,6,7.0,-1.0,-1.0,-1.0,"(5, 1)"
